AncientComponent1,AncientComponent2,AncientComponent3,AncientComponent4,AncientComponent5,ModernComponent1,ModernComponent2,ModernComponent3,DateBP,Sample ID,Country
0.002101,0.028552,0.018381,0.006223,1.00E-05,0.007929,0.106327,0.830476,10,NA18641,CHB
1.00E-05,0.028003,0.029012,0.006454,1.00E-05,0.007166,0.101309,0.828035,10,HG00404,CHS
0.00107,0.032617,0.014708,0.005541,1.00E-05,0.00141,0.067509,0.877136,10,NA18539,CHB
0.000798,0.020883,0.022659,0.017916,0.000258,0.007641,0.10002,0.829826,10,NA18582,CHB
0.000765,0.023931,0.021948,0.005687,1.00E-05,0.007053,0.099189,0.841417,10,NA18614,CHB
1.00E-05,0.035955,0.013786,0.000628,1.00E-05,0.001588,0.061951,0.886072,10,NA18525,CHB
0.000885,0.035739,0.012027,0.003752,0.000202,0.002454,0.060708,0.884232,10,NA18533,CHB
0.000723,0.037489,0.010383,0.003449,1.00E-05,0.003392,0.065267,0.879288,10,NA18542,CHB
1.20E-05,0.034748,0.014628,1.50E-05,1.00E-05,0.002125,0.057582,0.89088,10,NA18552,CHB
0.00105,0.037095,0.014707,0.006477,0.001301,0.003264,0.069073,0.867034,10,NA18553,CHB
0.000183,0.036624,0.016607,0.006427,1.00E-05,0.002248,0.059637,0.878262,10,NA18555,CHB
1.00E-05,0.035876,0.008868,0.003417,1.00E-05,0.001751,0.064142,0.885926,10,NA18559,CHB
0.000808,0.038936,0.023702,0.003688,1.00E-05,0.00656,0.086853,0.839443,10,NA18596,CHB
1.00E-05,0.032874,0.021665,0.003636,0.00097,0.007225,0.10813,0.82549,10,NA18615,CHB
1.00E-05,0.036872,0.013683,0.002523,0.002315,0.006452,0.111036,0.82711,10,NA18563,CHB
0.008003,0.143363,0.128497,0.024975,1.00E-05,0.043302,0.346841,0.30501,10,HG03663,PJL
0.177146,0.025804,0.007305,0.000776,0.010338,0.01388,0.742256,0.022495,10,NA20527,TSI
0.102867,0.104724,0.011831,0.072764,0.016465,0.007239,0.657114,0.026998,10,HG00264,GBR
0.154422,0.048107,0.012206,0.043411,0.015804,0.02916,0.665935,0.030956,10,HG01603,IBS
0.163249,0.062735,0.005927,0.04184,1.00E-05,0.036493,0.672763,0.016983,10,HG01709,IBS
0.022252,0.135272,0.137934,0.015584,1.00E-05,0.051042,0.297516,0.34039,10,HG03867,ITU
0.161924,0.041261,0.004941,0.055534,0.005362,0.014126,0.691355,0.025498,10,HG01518,IBS
